timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm
2025-11-25 16:16:11.267,0.3803195,5.763856,3.356849,4.560352
2025-11-25 16:16:11.770,0.4489372,5.542857,3.198961,4.370909
2025-11-25 16:16:12.271,0.3919697,5.755265,5.871917,5.813591
2025-11-25 16:16:12.793,0.3436592,5.703504,6.07996,5.891732
2025-11-25 16:16:13.299,0.3622955,5.56144,5.668454,5.614947
2025-11-25 16:16:13.800,0.338981,5.684003,5.841616,5.76281
2025-11-25 16:16:14.310,0.3482361,5.558189,5.938904,5.748547
2025-11-25 16:16:14.817,0.4829331,5.377384,5.514093,5.445739
2025-11-25 16:16:15.324,0.5492238,5.807636,5.887044,5.84734
2025-11-25 16:16:15.832,0.520745,5.725229,5.885477,5.805353
2025-11-25 16:16:16.335,0.5109866,5.539135,5.4486,5.493867
2025-11-25 16:16:16.841,0.3002665,5.727612,5.570707,5.649159
2025-11-25 16:16:17.348,0.09486745,5.360031,5.644109,5.50207
2025-11-25 16:16:17.854,0.09837558,5.140705,5.395602,5.268153
2025-11-25 16:16:18.358,0.09390467,5.171346,5.390994,5.28117
2025-11-25 16:16:18.860,0.3814721,5.159475,5.306904,5.23319
2025-11-25 16:16:19.367,0.6589892,5.642451,5.703735,5.673093
2025-11-25 16:16:19.879,0.633714,4.760896,5.257111,5.009003
2025-11-25 16:16:20.388,0.6110191,4.75382,4.849905,4.801863
2025-11-25 16:16:20.903,0.4381972,4.83245,5.016495,4.924473
2025-11-25 16:16:21.405,0.6041088,5.14426,5.414478,5.279369
2025-11-25 16:16:21.912,0.6553637,5.178001,5.310813,5.244407
2025-11-25 16:16:22.414,0.5043948,4.956982,5.163592,5.060287
2025-11-25 16:16:22.917,0.3615966,4.764219,5.600608,5.182413
2025-11-25 16:16:23.417,0.4215992,4.360569,4.856345,4.608457
2025-11-25 16:16:23.927,0.411703,5.061807,5.147602,5.104704
2025-11-25 16:16:24.437,0.2298357,4.741766,4.924823,4.833294
2025-11-25 16:16:24.945,0.2226869,5.107563,5.534998,5.321281
2025-11-25 16:16:25.455,0.2435506,5.36553,5.681245,5.523388
2025-11-25 16:16:25.964,0.336553,5.32665,5.620643,5.473646
2025-11-25 16:16:26.481,0.3430419,4.986794,4.829273,4.908034
2025-11-25 16:16:26.984,0.2793301,4.978855,4.83982,4.909338
2025-11-25 16:16:27.492,0.4010041,5.439214,5.231009,5.335112
2025-11-25 16:16:28.004,0.08835515,5.756379,5.544069,5.650224
2025-11-25 16:16:28.507,0.3436348,5.62138,5.400177,5.510778
2025-11-25 16:16:29.015,0.08688888,5.091358,5.178044,5.134701
2025-11-25 16:16:29.523,0.4476498,5.263144,5.424189,5.343666
2025-11-25 16:16:30.029,0.08515467,5.205647,5.289462,5.247555
2025-11-25 16:16:30.532,0.1764052,5.44676,5.448765,5.447762
2025-11-25 16:16:31.039,0.478288,5.25423,5.134215,5.194222
2025-11-25 16:16:31.539,0.08056489,5.168096,5.126807,5.147451
2025-11-25 16:16:32.043,0.0779513,5.176013,5.219976,5.197994
2025-11-25 16:16:32.549,0.06463008,5.146436,5.17576,5.161098
2025-11-25 16:16:33.056,0.1053285,5.23722,5.584674,5.410947
2025-11-25 16:16:33.563,0.1175099,5.889812,5.874103,5.881958
2025-11-25 16:16:34.068,0.06724643,5.839921,5.645924,5.742923
2025-11-25 16:16:34.572,0.05997767,6.008152,5.869949,5.939051
2025-11-25 16:16:35.096,0.05214178,5.914817,6.275005,6.094911
2025-11-25 16:16:35.610,0.2957035,5.936626,5.992765,5.964696
2025-11-25 16:16:36.112,0.3496493,5.783176,5.411187,5.597181
2025-11-25 16:16:36.749,0.3742116,5.413928,5.10666,5.260294
