timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm
2025-11-25 16:09:35.895,0.07057375,5.011115,5.028735,5.019925
2025-11-25 16:09:36.408,0.06704395,4.888475,5.242074,5.065275
2025-11-25 16:09:36.908,0.07036211,4.888475,4.808582,4.848528
2025-11-25 16:09:37.416,0.07319859,4.859593,4.808582,4.834087
2025-11-25 16:09:37.922,0.07649014,4.859593,5.14592,5.002756
2025-11-25 16:09:38.435,0.0594022,4.891028,4.808582,4.849805
2025-11-25 16:09:38.937,0.06950167,4.891028,4.718681,4.804854
2025-11-25 16:09:39.449,0.05673797,4.93399,4.718681,4.826335
2025-11-25 16:09:39.962,0.06982373,4.93399,4.988904,4.961447
2025-11-25 16:09:40.469,0.0709428,5.001645,4.988904,4.995275
2025-11-25 16:09:40.969,0.06770804,5.001645,4.915862,4.958754
2025-11-25 16:09:41.472,0.05415937,4.320836,4.915862,4.618349
2025-11-25 16:09:41.980,0.05002777,4.320836,4.461913,4.391375
2025-11-25 16:09:42.489,0.06467916,4.320836,4.603922,4.462379
2025-11-25 16:09:43.004,0.05047853,4.844293,4.603922,4.724108
2025-11-25 16:09:43.510,0.05614228,4.844293,4.882755,4.863523
2025-11-25 16:09:44.019,0.05674157,5.076293,4.882755,4.979524
2025-11-25 16:09:44.518,0.4028453,5.076293,4.886931,4.981612
2025-11-25 16:09:45.031,0.3753388,4.69833,4.886931,4.792631
2025-11-25 16:09:45.538,0.06534404,4.69833,4.662187,4.680259
2025-11-25 16:09:46.041,0.3430226,4.732746,4.662187,4.697467
2025-11-25 16:09:46.549,0.06461883,4.732746,4.679111,4.705929
2025-11-25 16:09:47.075,0.06404331,4.906408,4.679111,4.79276
2025-11-25 16:09:47.578,0.06481375,4.906408,4.540298,4.723353
2025-11-25 16:09:48.090,0.07866335,4.597599,4.540298,4.568949
2025-11-25 16:09:48.598,0.08006968,4.906408,4.691057,4.798733
2025-11-25 16:09:49.099,0.06439871,4.807669,4.691057,4.749363
2025-11-25 16:09:49.608,0.06609631,4.906408,4.774973,4.840691
2025-11-25 16:09:50.114,0.06384377,5.075291,4.691057,4.883174
2025-11-25 16:09:50.619,0.07367691,5.075291,5.051707,5.063499
2025-11-25 16:09:51.124,0.07237756,5.013509,5.021339,5.017424
2025-11-25 16:09:51.635,0.07756528,4.76269,5.051707,4.907198
2025-11-25 16:09:52.147,0.06244725,4.76269,4.83715,4.79992
2025-11-25 16:09:52.652,0.0609578,4.637199,4.83715,4.737175
2025-11-25 16:09:53.160,0.06958134,4.637199,4.599637,4.618418
2025-11-25 16:09:53.662,0.0656021,4.637199,4.599637,4.618418
2025-11-25 16:09:54.176,0.06512216,4.720951,4.855633,4.788292
2025-11-25 16:09:54.679,0.3576437,4.994896,4.855633,4.925264
2025-11-25 16:09:55.186,0.3740669,4.994896,4.782467,4.888682
2025-11-25 16:09:55.691,0.4581139,4.450984,4.782467,4.616726
2025-11-25 16:09:56.195,0.4681319,4.450984,4.395904,4.423444
2025-11-25 16:09:56.706,0.0745638,4.4211,4.395904,4.408502
2025-11-25 16:09:57.215,0.07631655,4.4211,4.44472,4.43291
2025-11-25 16:09:57.729,0.06657901,4.674434,4.44472,4.559577
2025-11-25 16:09:58.231,0.3193224,4.674434,4.930228,4.802331
2025-11-25 16:09:58.740,0.3518634,4.733504,4.930228,4.831866
2025-11-25 16:09:59.246,0.06455746,4.733504,4.612745,4.673124
2025-11-25 16:09:59.755,0.05139592,4.368958,4.417734,4.393346
2025-11-25 16:10:00.267,0.05125885,4.690087,4.417734,4.55391
2025-11-25 16:10:00.775,0.3459005,4.690087,4.726201,4.708144
2025-11-25 16:10:01.275,0.3681529,4.780347,4.726201,4.753274
2025-11-25 16:10:01.782,0.385414,4.690087,4.64733,4.668709
2025-11-25 16:10:02.295,0.3835161,4.725243,4.64733,4.686287
2025-11-25 16:10:02.801,0.3848209,4.725243,4.696295,4.710769
2025-11-25 16:10:03.307,0.3841684,5.216361,4.696295,4.956328
2025-11-25 16:10:03.827,0.3842037,5.216361,4.990413,5.103387
2025-11-25 16:10:04.338,0.3841947,4.927354,4.990413,4.958883
2025-11-25 16:10:04.845,0.372301,4.927354,4.938875,4.933115
2025-11-25 16:10:05.354,0.4255086,5.080013,4.938875,5.009444
2025-11-25 16:10:05.909,0.460561,5.080013,4.600425,4.840219
