timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm,event
2025-11-25 16:07:55.541,0.4617278,4.016489,4.009413,4.012951,Continuous Logging
2025-11-25 16:07:56.041,0.6512825,4.525175,4.034396,4.279786,Continuous Logging
2025-11-25 16:07:56.569,0.7398114,4.087668,4.011164,4.049416,Continuous Logging
2025-11-25 16:07:57.078,0.6443763,3.46564,3.571767,3.518703,Continuous Logging
2025-11-25 16:07:57.586,0.6314854,3.612301,3.435921,3.524111,Continuous Logging
2025-11-25 16:07:58.090,0.6318134,3.603988,3.410102,3.507045,Continuous Logging
2025-11-25 16:07:58.596,0.1169287,3.504684,3.445085,3.474885,Continuous Logging
2025-11-25 16:07:59.114,0.118049,3.681089,3.59932,3.640205,Continuous Logging
2025-11-25 16:07:59.620,0.1173786,3.51723,3.543765,3.530497,Continuous Logging
2025-11-25 16:08:00.131,0.1129422,3.568269,3.544371,3.55632,Continuous Logging
2025-11-25 16:08:00.642,0.1150629,3.736634,3.766506,3.75157,Continuous Logging
2025-11-25 16:08:01.144,0.6545088,3.705538,3.692126,3.698832,Continuous Logging
2025-11-25 16:08:01.653,0.1226934,3.273182,3.273576,3.273379,Continuous Logging
2025-11-25 16:08:02.162,0.6656083,3.430825,3.353743,3.392284,Continuous Logging
2025-11-25 16:08:02.664,0.6657546,3.19873,3.047268,3.122999,Continuous Logging
2025-11-25 16:08:03.172,0.6634878,3.295967,3.229058,3.262512,Continuous Logging
2025-11-25 16:08:03.680,0.7633779,3.392608,3.536653,3.46463,Continuous Logging
2025-11-25 16:08:04.186,0.7675258,3.318682,3.42779,3.373236,Continuous Logging
2025-11-25 16:08:04.687,0.7673572,3.497974,3.466124,3.482049,Continuous Logging
2025-11-25 16:08:05.197,0.766643,3.715251,3.58265,3.64895,Continuous Logging
2025-11-25 16:08:05.700,0.7668432,3.748668,3.68244,3.715554,Continuous Logging
2025-11-25 16:08:06.207,0.1425257,3.813506,3.731891,3.772698,Continuous Logging
